id,sentence,difficulty
9600,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
9601,"Néanmoins, ces observations ont réaliste obtenues en conditions contrôlées, et l'exposition des larves selon un scénario environnementalement été d'ingestion de feuilles de plantes de culture contaminées n'a jamais été encore entrepris.",C2
9602,"Par ailleurs, le concept d'echelle architecturologique constitue un outil du pour questionner la representation architecturale d'investigation point de vue de la conception.",C2
9603,Je vous saurais gré réponse bien vouloir me donner votre de dans les plus brefs délais,C2
9604,Le lien entre l'acteur et l'acte commis est inexistant,C2
9605,Je vous saurais gré de bien vouloir me donner votre réponse dans les plus brefs délais,C2
9606,"Elle m'occupait sans cesse : je du mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre formais succès parce qu'elle n'a rien essayé.",C2
9607,"Elle disait : ""Enfin, on respire !"" et parcourait les allées détrempées - trop symétriquement alignées à son gré par le nouveau jardinier dépourvu du sentiment de la nature et auquel mon père avait demandé depuis le matin si le temps s'arrangerait - de son petit pas enthousiaste et saccadé, réglé sur les mouvements divers qu'excitaient dans de âme l'ivresse de l'orage, la puissance de l'hygiène, la stupidité de mon éducation et la symétrie des jardins, plutôt que sur le désir inconnu d'elle d'éviter à sa jupe prune les taches de boue sous lesquelles elle disparaissait jusqu'à une hauteur qui était toujours pour sa femme son chambre un désespoir et un problème.",C2
9608,La didascalie offre un éclairage totalement nouveau de l'oeuvre.,C2
9609,"Elle disait : ""Enfin, on respire !"" et parcourait les allées détrempées - trop symétriquement le à son gré par le nouveau jardinier dépourvu du sentiment de la nature et auquel mon père avait demandé depuis alignées matin si le temps s'arrangerait - de son petit pas enthousiaste et saccadé, réglé sur les mouvements divers qu'excitaient dans son âme l'ivresse de l'orage, la puissance de l'hygiène, la stupidité de mon éducation et la symétrie des jardins, plutôt que sur le désir inconnu d'elle d'éviter à sa jupe prune les taches de boue sous lesquelles elle disparaissait jusqu'à une hauteur qui était toujours pour sa femme de chambre un désespoir et un problème.",C2
9610,"C'est alors qu'on le voyait, se promenant sur le Prater, porter dans un poing ostensiblement serré l'exquis mouchoir de lin jaune et noir qui évoquait à grands cris l'ordonnance de 1468 promulguée par un certain Pietro Barbo et exigeant que, la corde au cou, la race de Guido courût sur le Corso pour l'amusement de la populace chrétienne, cependant que les dames de noble naissance, assises sur des colonnes vertébrales trop raffinées pour se détendre, se levaient de leurs sièges et, en compagnie des cardinaux à robe rouge et des monsignori, applaudissaient avec l'abandon froid mais hystérique d'un peuple qui est tout ensemble injuste et heureux - le pape lui-même étant précipité de sa prise sur le ciel par le rire d'un homme qui renonce à ses anges pour récupérer la bête.",C2
9611,"Après 13 ans, l'appareil qui et phonatoire de l'enfant se fige, ce articulatoire explique que les adultes ont tant de mal à apprendre les langues étrangères",C2
9612,"Mais sous virtuosité accents harmonieux d'un Schleiermacher, sous la pieuse les de Tieck et l'ironie de Schlegel, Hegel discerne aisément le tourment de l'esprit.",C2
9613,Le lien entre l'acteur et l'acte commis est inexistant,C2
9614,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
9615,"Par ailleurs, le concept d'echelle architecturologique constitue un outil d'investigation questionner pour la representation architecturale du point de vue de la conception.",C2
9616,"On eût dit qu'en faisant remarquer leurs ridicules, je trahissais une confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence : je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
9617,"On eût dit qu'en faisant remarquer leurs ridicules, je trahissais une confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence : je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
9618,Le lien entre l'acteur inexistant l'acte commis est et,C2
9619,Le lien entre l'acteur et l'acte commis est inexistant,C2
9620,"C'est alors qu'on le voyait, se promenant sur le Prater, porter dans un poing ostensiblement serré l'exquis mouchoir de lin jaune et noir qui évoquait à grands cris l'ordonnance de 1468 promulguée par un certain Pietro Barbo et exigeant que, la corde au cou, la race de Guido courût sur le Corso pour l'amusement de la populace chrétienne, cependant que les dames de noble naissance, assises sur des colonnes vertébrales trop raffinées pour se détendre, se levaient de leurs sièges et, en compagnie des cardinaux à robe rouge et des monsignori, applaudissaient avec l'abandon froid mais hystérique d'un peuple qui est tout ensemble injuste et heureux - le pape lui-même étant précipité de sa prise sur le ciel par le rire d'un homme qui renonce à ses anges pour récupérer la bête.",C2
9621,est religion La la grande consolatrice des virginités,C2
9622,Je vous saurais gré de bien vouloir me donner votre réponse dans les plus brefs délais,C2
9623,"C'est alors qu'on le voyait, se promenant sur le Prater, porter dans un poing ostensiblement serré l'exquis mouchoir de lin jaune et noir qui évoquait à grands cris l'ordonnance de 1468 promulguée par un certain Pietro Barbo et exigeant que, la corde au cou, la race de Guido courût sur le Corso pour l'amusement de la populace chrétienne, cependant que les dames de noble naissance, assises sur des colonnes vertébrales trop raffinées pour se détendre, se levaient de leurs sièges et, en compagnie des cardinaux à robe rouge et des monsignori, applaudissaient avec l'abandon froid mais hystérique d'un peuple qui est tout ensemble injuste et heureux - le pape lui-même étant précipité de sa prise sur le ciel par le rire d'un homme qui renonce à ses anges pour récupérer la bête.",C2
9624,"Lorsqu'elle eut revu son premier amoureux, son coeur battit follement",C2
9625,Le lien entre l'acteur et l'acte commis est inexistant,C2
9626,Je vous saurais plus de bien vouloir me donner votre réponse dans les gré brefs délais,C2
9627,Le lien entre l'acteur et l'acte commis est inexistant,C2
9628,Le entre lien l'acteur et l'acte commis est inexistant,C2
9629,Certains partenaires ne demandent pas votre consentement traiter s'appuient sur leur intérêt commercial légitime pour et vos données.,C2
9630,"Car à la tentation minutieusement encouragée par les industriels du secteur, s'ajoute la fascination même du jeu, dont la puissance de séduction peut parfois faire perdre pied.",C2
9631,La didascalie offre un éclairage totalement nouveau de l'oeuvre.,C2
9632,"Car à la tentation minutieusement encouragée par les industriels du secteur, s'ajoute la fascination même du jeu, dont la puissance de séduction peut parfois faire perdre pied.",C2
9633,L'homme lépreux est le impoli du monde fashionable.,C2
9634,La religion est la grande consolatrice des virginités,C2
9635,Je vous saurais gré de bien vouloir me donner votre réponse dans les plus brefs délais,C2
9636,Tu portas cette de robe soie bleue que j'eus cousue,C2
9637,"Car à la tentation minutieusement encouragée par les industriels du secteur, s'ajoute la fascination même du jeu, dont la puissance de séduction peut parfois faire perdre pied.",C2
9638,"Les sollicitations incessantes auxquelles nous sommes confrontés nous obligent à une discipline de fer. Pour ne pas se laisser envahir, il devient nécessaire d'établir des règles et limites.",C2
9639,"Néanmoins, ces observations ont été obtenues en conditions contrôlées, et l'exposition des larves selon un scénario environnementalement réaliste d'ingestion de feuilles de plantes de culture contaminées n'a jamais été encore entrepris.",C2
9640,"Par ailleurs, le concept d'echelle la constitue un outil d'investigation pour questionner la representation architecturale du point de vue de architecturologique conception.",C2
9641,"les à la tentation minutieusement encouragée par Car industriels du secteur, s'ajoute la fascination même du jeu, dont la puissance de séduction peut parfois faire perdre pied.",C2
9642,Le lien entre l'acteur l'acte et commis est inexistant,C2
9643,Tu portas cette que de soie bleue robe j'eus cousue,C2
9644,Tu portas cette robe de soie bleue que j'eus cousue,C2
9645,"On eût dit qu'en faisant remarquer leurs ridicules, je trahissais une confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence : je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
9646,"Les tenants de la décroissance enjoignent pour leur part à consommer moins, à travailler moins et à réformer en profondeur les modes de vie et notamment notre consommation.",C2
9647,"Lorsqu'elle eut revu son premier amoureux, son coeur battit follement",C2
9648,"Par ailleurs, le concept d'echelle architecturologique vue un outil d'investigation pour questionner la representation architecturale du point de constitue de la conception.",C2
9649,"Elle disait : ""Enfin, on respire !"" et parcourait les allées détrempées - trop symétriquement alignées à son gré par le nouveau jardinier dépourvu du sentiment de la nature et auquel mon père avait demandé depuis le matin si le temps s'arrangerait - de son petit pas enthousiaste et saccadé, réglé sur les mouvements divers qu'excitaient dans son âme l'ivresse de l'orage, la puissance de l'hygiène, la stupidité de mon éducation et la symétrie des jardins, plutôt que sur le désir inconnu d'elle d'éviter à sa jupe prune les taches de boue sous lesquelles elle disparaissait jusqu'à une hauteur qui était toujours pour sa femme de chambre un désespoir et un problème.",C2
9650,"fascination à la tentation minutieusement encouragée par les industriels du secteur, s'ajoute la Car même du jeu, dont la puissance de séduction peut parfois faire perdre pied.",C2
9651,"Elle disait : ""Enfin, on respire !"" et parcourait les allées détrempées - trop symétriquement alignées à son gré par le nouveau jardinier dépourvu du sentiment de la nature et auquel mon père avait demandé depuis le matin si le temps s'arrangerait - de son petit pas enthousiaste et saccadé, réglé sur les mouvements pour qu'excitaient dans son âme l'ivresse de l'orage, la puissance de l'hygiène, la stupidité de mon éducation et la symétrie des jardins, plutôt que sur le désir inconnu d'elle d'éviter à sa jupe prune les taches de boue sous lesquelles elle disparaissait jusqu'à une hauteur qui était toujours divers sa femme de chambre un désespoir et un problème.",C2
9652,Certains partenaires légitime demandent pas votre consentement et s'appuient sur leur intérêt commercial ne pour traiter vos données.,C2
9653,"Après 13 ans, l'appareil articulatoire et phonatoire de l'enfant se fige, ce qui explique que les adultes ont tant de mal à apprendre les langues étrangères",C2
9654,"Les sollicitations incessantes auxquelles nous sommes confrontés nous obligent à une discipline de envahir, Pour ne pas se laisser fer. il devient nécessaire d'établir des règles et limites.",C2
9655,"Lorsqu'elle eut revu son premier follement son coeur battit amoureux,",C2
9656,La religion consolatrice la grande est des virginités,C2
9657,Le lien entre l'acteur et l'acte commis est inexistant,C2
9658,J'eusse dû te le confier en amont de notre conversation avec les investisseurs,C2
9659,"Par ailleurs, le concept d'echelle architecturologique de un outil d'investigation pour questionner la representation architecturale du point de vue constitue la conception.",C2
9660,Tu portas cette cousue de soie bleue que j'eus robe,C2
9661,La religion est la grande virginités des consolatrice,C2
9662,"Les sollicitations incessantes auxquelles nous sommes confrontés nous fer. à une discipline de obligent Pour ne pas se laisser envahir, il devient nécessaire d'établir des règles et limites.",C2
9663,"Les tenants de la décroissance enjoignent pour leur travailler à consommer moins, à part moins et à réformer en profondeur les modes de vie et notamment notre consommation.",C2
9664,"Elle disait : ""Enfin, on respire !"" et parcourait les allées détrempées - du symétriquement alignées à son gré par le nouveau jardinier dépourvu trop sentiment de la nature et auquel mon père avait demandé depuis le matin si le temps s'arrangerait - de son petit pas enthousiaste et saccadé, réglé sur les mouvements divers qu'excitaient dans son âme l'ivresse de l'orage, la puissance de l'hygiène, la stupidité de mon éducation et la symétrie des jardins, plutôt que sur le désir inconnu d'elle d'éviter à sa jupe prune les taches de boue sous lesquelles elle disparaissait jusqu'à une hauteur qui était toujours pour sa femme de chambre un désespoir et un problème.",C2
9665,"Mais sous les accents harmonieux d'un Schleiermacher, sous la pieuse virtuosité de Tieck et l'ironie de Schlegel, Hegel discerne aisément le tourment de l'esprit.",C2
9666,Certains partenaires ne demandent pas votre consentement et s'appuient sur leur intérêt commercial légitime pour traiter vos données.,C2
9667,"Néanmoins, ces observations ont été obtenues en conditions contrôlées, et l'exposition des larves selon un scénario environnementalement réaliste d'ingestion de feuilles de plantes de culture contaminées n'a jamais été encore entrepris.",C2
9668,"Néanmoins, ces observations ont été obtenues en conditions contrôlées, et l'exposition des larves selon un scénario environnementalement réaliste d'ingestion de feuilles de plantes de culture contaminées n'a jamais été encore entrepris.",C2
9669,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
9670,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
9671,"Lorsqu'elle eut revu son premier battit son coeur amoureux, follement",C2
9672,L'homme fashionable. est le lépreux du monde impoli,C2
9673,La religion est la grande consolatrice des virginités,C2
9674,Je brefs saurais gré de bien vouloir me donner votre réponse dans les plus vous délais,C2
9675,"On eût : qu'en faisant remarquer leurs ridicules, je trahissais une confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence dit je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
9676,"Mais sous les accents harmonieux d'un Schleiermacher, sous la pieuse virtuosité de Tieck et l'ironie de Schlegel, Hegel discerne aisément le tourment de l'esprit.",C2
9677,"Néanmoins, ces observations ont été obtenues en conditions contrôlées, et l'exposition des larves selon un scénario environnementalement réaliste d'ingestion de feuilles de plantes de culture contaminées n'a jamais été encore entrepris.",C2
9678,"Par ailleurs, le concept d'echelle architecturologique constitue questionner outil d'investigation pour un la representation architecturale du point de vue de la conception.",C2
9679,"On eût dit qu'en faisant remarquer leurs ridicules, je trahissais une confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence : je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
9680,"Mais sous les accents harmonieux d'un Schleiermacher, sous la pieuse virtuosité de Tieck et l'ironie de Schlegel, Hegel discerne aisément le tourment de l'esprit.",C2
9681,"Par ailleurs, le concept d'echelle architecturologique constitue un outil d'investigation pour questionner la representation architecturale du point de vue de la conception.",C2
9682,"On eût dit qu'en faisant remarquer leurs ridicules, je avaient une confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils trahissais obtenu de ma part la promesse du silence : je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
9683,"Par ailleurs, le concept d'echelle architecturologique constitue un outil d'investigation de questionner la representation architecturale du point pour vue de la conception.",C2
9684,didascalie La offre un éclairage totalement nouveau de l'oeuvre.,C2
9685,"On eût dit qu'en faisant remarquer leurs ridicules, je trahissais une confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence : je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
9686,"Les tenants de la décroissance enjoignent pour leur part à consommer moins, à travailler moins et à réformer en profondeur les modes de vie et notamment notre consommation.",C2
9687,"Mais sous les accents harmonieux d'un Schleiermacher, sous la pieuse virtuosité de Tieck et l'ironie de Schlegel, Hegel discerne aisément le tourment de l'esprit.",C2
9688,J'eusse dû le te confier en amont de notre conversation avec les investisseurs,C2
9689,"On eût dit qu'en faisant remarquer leurs ridicules, je trahissais m'avaient confidence qu'ils une faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence : je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
9690,"Les sollicitations incessantes auxquelles nous sommes confrontés nous obligent à une discipline de fer. Pour ne pas se laisser et il devient nécessaire d'établir des règles envahir, limites.",C2
9691,"Les sollicitations incessantes auxquelles nous sommes confrontés nous obligent à et discipline de fer. Pour ne pas se laisser envahir, il devient nécessaire d'établir des règles une limites.",C2
9692,"Elle m'occupait sans cesse : je formais sûre projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit mille du succès parce qu'elle n'a rien essayé.",C2
9693,"Après 13 ans, l'appareil articulatoire et phonatoire de l'enfant se fige, ce qui explique que les adultes ont tant de mal à apprendre les langues étrangères",C2
9694,"Néanmoins, ces observations ont été de en conditions contrôlées, et l'exposition des larves selon un scénario environnementalement réaliste d'ingestion de feuilles de plantes obtenues culture contaminées n'a jamais été encore entrepris.",C2
9695,"Mais virtuosité les accents harmonieux d'un Schleiermacher, sous la pieuse sous de Tieck et l'ironie de Schlegel, Hegel discerne aisément le tourment de l'esprit.",C2
9696,"C'est alors qu'on le voyait, se promenant sur le Prater, porter dans un poing ostensiblement serré l'exquis mouchoir de lin jaune et noir qui évoquait à grands cris l'ordonnance de 1468 promulguée par un certain Pietro Barbo et exigeant que, la corde au cou, la race de Guido courût sur le Corso pour l'amusement de la populace chrétienne, cependant que les dames de noble naissance, assises sur des colonnes vertébrales trop rire pour se détendre, se levaient de leurs sièges et, en compagnie des cardinaux à robe rouge et des monsignori, applaudissaient avec l'abandon froid mais hystérique d'un peuple qui est tout ensemble injuste et heureux - le pape lui-même étant précipité de sa prise sur le ciel par le raffinées d'un homme qui renonce à ses anges pour récupérer la bête.",C2
9697,Le lien entre l'acteur et l'acte commis est inexistant,C2
9698,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
9699,"C'est alors qu'on le voyait, se promenant sur le Prater, porter dans un poing ostensiblement serré l'exquis mouchoir de lin jaune et noir qui évoquait à grands cris l'ordonnance de 1468 promulguée par un certain Pietro Barbo et exigeant que, la corde au cou, la race de Guido courût sur le Corso pour l'amusement de la populace chrétienne, cependant que colonnes dames de noble naissance, assises sur des les vertébrales trop raffinées pour se détendre, se levaient de leurs sièges et, en compagnie des cardinaux à robe rouge et des monsignori, applaudissaient avec l'abandon froid mais hystérique d'un peuple qui est tout ensemble injuste et heureux - le pape lui-même étant précipité de sa prise sur le ciel par le rire d'un homme qui renonce à ses anges pour récupérer la bête.",C2
9700,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
9701,Le lien entre l'acteur et l'acte commis est inexistant,C2
9702,La religion est la grande consolatrice virginités des,C2
9703,Je vous saurais gré de bien vouloir me donner votre réponse dans les plus brefs délais,C2
9704,de didascalie offre un éclairage totalement nouveau La l'oeuvre.,C2
9705,"Les sollicitations incessantes auxquelles nous sommes confrontés nous obligent à une discipline de fer. Pour ne pas se laisser envahir, il devient nécessaire d'établir des règles et limites.",C2
9706,"Les sollicitations incessantes auxquelles nous sommes confrontés nous obligent à une discipline de fer. Pour ne pas se laisser envahir, il devient nécessaire d'établir des règles et limites.",C2
9707,"Lorsqu'elle eut revu son premier amoureux, follement coeur battit son",C2
9708,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
9709,"Après 13 ans, l'appareil articulatoire et phonatoire de l'enfant se fige, ce qui explique que les adultes ont tant de mal à apprendre les langues étrangères",C2
9710,Je vous saurais gré de bien vouloir me donner votre réponse dans les plus brefs délais,C2
9711,Certains partenaires ne demandent pas votre consentement et s'appuient sur leur intérêt commercial légitime pour traiter vos données.,C2
9712,"Les tenants réformer la décroissance enjoignent pour leur part à consommer moins, à travailler moins et à de en profondeur les modes de vie et notamment notre consommation.",C2
9713,"On eût dit qu'en faisant remarquer leurs ridicules, je trahissais une confidence conscience m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence : je n'avais point la qu'ils d'avoir accepté ce traité trop onéreux.",C2
9714,"Après 13 ans, l'appareil articulatoire et phonatoire de l'enfant se fige, ce qui explique ont les adultes que tant de mal à apprendre les langues étrangères",C2
9715,"Car à la tentation minutieusement encouragée par les industriels du secteur, s'ajoute la fascination même du jeu, dont la puissance de séduction peut parfois faire perdre pied.",C2
9716,Le lien entre l'acteur et l'acte commis est inexistant,C2
9717,Je vous saurais gré de bien vouloir me dans votre réponse donner les plus brefs délais,C2
9718,Tu portas cette robe de soie bleue que j'eus cousue,C2
9719,Le lien entre l'acteur et commis l'acte est inexistant,C2
9720,"Néanmoins, ces observations ont été obtenues en conditions contrôlées, et l'exposition des larves selon un scénario environnementalement réaliste d'ingestion de feuilles de plantes de culture contaminées n'a jamais été encore entrepris.",C2
9721,Le lien commis l'acteur et l'acte entre est inexistant,C2
9722,"Car à la tentation minutieusement encouragée par les industriels du secteur, s'ajoute la fascination même du jeu, dont la puissance de séduction peut parfois faire perdre pied.",C2
9723,"Elle m'occupait sans de : je formais mille projets ; j'inventais mille moyens cesse conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
9724,"Après 13 ans, l'appareil articulatoire et phonatoire de l'enfant se fige, ce qui explique que les adultes ont tant de mal à apprendre les langues étrangères",C2
9725,Je vous saurais gré de bien vouloir me donner votre réponse dans les plus brefs délais,C2
9726,"Lorsqu'elle eut revu son battit amoureux, son coeur premier follement",C2
9727,"C'est alors qu'on le voyait, se promenant sur le Prater, porter dans un poing ostensiblement serré l'exquis mouchoir de lin jaune et noir qui évoquait à grands cris l'ordonnance de 1468 promulguée par un certain Pietro Barbo et exigeant que, la corde au cou, la race de Guido courût sur le Corso pour l'amusement de la populace chrétienne, cependant que les dames de noble naissance, assises sur des colonnes vertébrales trop raffinées pour se détendre, se levaient de leurs sièges et, en compagnie des cardinaux à sa rouge et des monsignori, applaudissaient avec l'abandon froid mais hystérique d'un peuple qui est tout ensemble injuste et heureux - le pape lui-même étant précipité de robe prise sur le ciel par le rire d'un homme qui renonce à ses anges pour récupérer la bête.",C2
9728,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
9729,Certains partenaires ne demandent pas commercial consentement et s'appuient sur leur intérêt votre légitime pour traiter vos données.,C2
9730,La didascalie offre un éclairage totalement nouveau de l'oeuvre.,C2
9731,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec cette succès sans expérience qui se croit sûre du fatuité parce qu'elle n'a rien essayé.",C2
9732,Le entre lien l'acteur et l'acte commis est inexistant,C2
9733,"Mais sous les accents harmonieux d'un Schleiermacher, sous la pieuse l'ironie de Tieck et virtuosité de Schlegel, Hegel discerne aisément le tourment de l'esprit.",C2
9734,Le lien entre l'acteur et l'acte commis est inexistant,C2
9735,"On eût dit qu'en faisant remarquer leurs ridicules, je trahissais mes confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à une yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence : je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
9736,"Les sollicitations incessantes auxquelles nous sommes confrontés nous obligent à se discipline de fer. Pour ne pas une laisser envahir, il devient nécessaire d'établir des règles et limites.",C2
9737,Je dans saurais gré de bien vouloir me donner votre réponse vous les plus brefs délais,C2
9738,"Néanmoins, ces observations ont été selon en conditions contrôlées, et l'exposition des larves obtenues un scénario environnementalement réaliste d'ingestion de feuilles de plantes de culture contaminées n'a jamais été encore entrepris.",C2
9739,"Mais harmonieux les accents sous d'un Schleiermacher, sous la pieuse virtuosité de Tieck et l'ironie de Schlegel, Hegel discerne aisément le tourment de l'esprit.",C2
9740,"On eût dit qu'en faisant remarquer leurs ridicules, je trahissais une confidence qu'ils m'avaient faite ; on eût dit qu'en se montrant à mes yeux tels qu'ils étaient, ils avaient obtenu de ma part la promesse du silence : je n'avais point la conscience d'avoir accepté ce traité trop onéreux.",C2
9741,"C'est alors qu'on le voyait, se promenant sur le Prater, porter dans un poing ostensiblement serré l'exquis mouchoir de lin jaune et noir qui évoquait à grands cris l'ordonnance de 1468 promulguée par un certain Pietro Barbo et exigeant que, la corde sur cou, la race de Guido courût sur le Corso pour l'amusement de la populace chrétienne, cependant que les dames de noble naissance, assises sur des colonnes vertébrales trop raffinées pour se détendre, se levaient de leurs sièges et, en compagnie des cardinaux à robe rouge et des monsignori, applaudissaient avec l'abandon froid mais hystérique d'un peuple qui est tout ensemble injuste et heureux - le pape lui-même étant précipité de sa prise au le ciel par le rire d'un homme qui renonce à ses anges pour récupérer la bête.",C2
9742,"Néanmoins, ces observations ont été obtenues en conditions contrôlées, et l'exposition des larves selon un scénario environnementalement réaliste d'ingestion de feuilles de plantes de culture contaminées n'a jamais été encore entrepris.",C2
9743,Je vous saurais gré de bien vouloir me donner votre réponse dans les plus brefs délais,C2
9744,"Elle disait : ""Enfin, on respire !"" et parcourait les allées détrempées - trop symétriquement alignées à son gré par le nouveau jardinier dépourvu du sentiment de la nature et auquel mon père avait demandé depuis le matin si le temps s'arrangerait - de son petit pas enthousiaste et saccadé, réglé sur les mouvements divers qu'excitaient dans son âme l'ivresse de l'orage, la puissance de l'hygiène, la stupidité de mon éducation et la symétrie des jardins, plutôt que sur le désir inconnu d'elle d'éviter à sa jupe prune les taches de boue sous lesquelles elle disparaissait jusqu'à une hauteur qui était toujours pour sa femme de chambre un désespoir et un problème.",C2
9745,L'homme impoli est le monde du lépreux fashionable.,C2
9746,J'eusse dû te le confier en notre de amont conversation avec les investisseurs,C2
9747,"de ailleurs, le concept d'echelle architecturologique constitue un outil d'investigation pour questionner la representation architecturale du point de vue Par la conception.",C2
9748,"Elle m'occupait cesse sans : je formais mille projets ; j'inventais mille moyens de conquête, avec cette fatuité sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
9749,"Par ailleurs, le concept d'echelle architecturologique constitue un outil d'investigation pour questionner la representation du architecturale point de vue de la conception.",C2
9750,Le lien entre l'acteur et l'acte commis est inexistant,C2
9751,"Elle m'occupait sans cesse : je formais mille projets ; j'inventais mille moyens de conquête, avec fatuité cette sans expérience qui se croit sûre du succès parce qu'elle n'a rien essayé.",C2
9752,"Car à la tentation minutieusement encouragée par les industriels du secteur, s'ajoute la fascination même du jeu, dont la puissance de séduction peut parfois faire perdre pied.",C2
9753,Tu portas cette j'eus de soie bleue que robe cousue,C2
9754,Le lien entre l'acteur et l'acte commis est inexistant,C2
9755,Je vous saurais gré de bien donner me vouloir votre réponse dans les plus brefs délais,C2
9756,"Par ailleurs, le concept d'echelle architecturologique constitue un outil d'investigation pour questionner la representation architecturale du point de vue de la conception.",C2
9757,La religion est la grande consolatrice des virginités,C2
9758,"Après 13 ans, l'appareil articulatoire et langues de l'enfant se fige, ce qui explique que les adultes ont tant de mal à apprendre les phonatoire étrangères",C2
9759,"C'est alors qu'on le voyait, se promenant sur le Prater, porter dans un poing ostensiblement serré l'exquis mouchoir de lin jaune et noir qui évoquait à grands cris l'ordonnance de 1468 promulguée par un certain Pietro Barbo et exigeant que, la corde au cou, la race de Guido courût sur le Corso pour l'amusement de la populace chrétienne, cependant que les dames de noble naissance, assises sur des colonnes vertébrales trop raffinées pour se détendre, se levaient de leurs sièges et, en compagnie des cardinaux à robe rouge et des monsignori, applaudissaient avec l'abandon froid mais hystérique d'un peuple qui est tout ensemble injuste et heureux - le pape lui-même étant précipité de sa prise sur le ciel par le rire d'un homme qui renonce à ses anges pour récupérer la bête.",C2
9760,"Lorsqu'elle eut revu son premier amoureux, son coeur battit follement",C2
9761,"C'est alors qu'on le voyait, se promenant sur le Prater, porter dans un poing ostensiblement serré l'exquis mouchoir de lin jaune et noir qui évoquait à grands cris l'ordonnance de 1468 promulguée par un certain Pietro Barbo et exigeant que, la corde au cou, la race de Guido courût sur le Corso pour l'amusement de la populace chrétienne, cependant que les dames de noble naissance, assises sur des colonnes vertébrales trop raffinées pour se détendre, se levaient de leurs sièges et, en compagnie des cardinaux à robe rouge et des monsignori, applaudissaient avec l'abandon froid mais hystérique d'un peuple qui est tout ensemble injuste et heureux - le pape lui-même étant précipité de sa prise sur le ciel par le rire d'un homme qui renonce à ses anges pour récupérer la bête.",C2
9762,Je vous saurais gré de bien vouloir votre donner me réponse dans les plus brefs délais,C2
9763,L'homme impoli est le lépreux du monde fashionable.,C2
